livsmedel,calorie,protein,carb,fat
Champinjon skivad frysvara,19,2.0,0.8,0.4
Linsgroddar,125,9.0,19.1,0.6
Lök gul frysvara,28,1.5,4.1,0.0
Grönsaksblandning m. ärtor bönor majs morot typ amerikansk frysvara,68,3.3,11.1,0.5
Grönsaksblandning m. ärtor bönor morot blomkål typ sommargrönsaker frysvara,38,2.4,4.5,0.5
Grönsaksblandning m. ärtor morot frysvara,60,3.7,9.0,0.5
Grönsaksblandning m. ärtor majs paprika frysvara,66,4.2,8.7,0.5
Sallad m. grönsallat gurka tomat u. dressing,16,0.9,2.4,0.1
Paprika grön gul röd,22,0.5,4.0,0.2
Bambuskott konserv. u. lag,24,2.7,1.7,0.2
Gröna bönor konserv. u. lag,21,1.2,3.0,0.1
Champinjon konserv. m. lag,15,1.9,0.9,0.1
Majskorn konserv. u. lag,80,2.1,12.9,1.5
Oliver gröna m. paprikafyllning avrunna,128,0.6,1.1,13.1
Oliver svarta m. olja avrunna,142,0.8,1.8,14.1
Grönsaksblandning el. pickels sockrad inlagd u. lag,116,1.5,26.1,0.1
Sparris vit konserv. u. lag,15,0.9,0.5,0.7
Sparrissoppa tillagad redd konserv. veg.,35,0.9,3.7,1.7
Surkål konserv. m. lag,17,0.9,2.0,0.2
Tomat hel konserv. m. lag,25,1.1,4.4,0.1
Tomatjuice konserv. drickf.,18,0.8,2.7,0.1
Tomatpuré konc. konserv.,84,4.4,13.5,0.2
Vaxbönor konserv. u. lag,24,1.4,2.5,0.3
Gröna ärtor konserv. m. lag,63,3.5,10.5,0.3
Gröna ärtor konserv. u. lag,60,4.4,7.3,0.4
Mungbönsgroddar konserv. u. lag,16,1.4,0.8,0.1
Sojabönsgroddar konserv. u. lag,16,1.6,0.6,0.2
Paprikasallad inlagd u. lag,31,1.0,4.3,0.4
Ajvar relish,70,1.2,6.9,3.5
Svamp konserv. u. lag,23,2.5,0.9,0.5
Kantarell konserv. u. lag,36,1.4,4.8,0.7
Syltlök inlagd,83,0.9,18.7,0.1
Tomater gröna syltade,86,1.2,18.6,0.2
Tomat krossad konserv. m. lag,22,0.8,3.7,0.2
Fefferoni konserv. inlagd,19,0.7,1.7,0.1
Wokgrönsaker Asiatiska wokade m. rapsolja,49,1.4,5.7,1.3
Wokgrönsaker Classic wokade m. rapsolja,47,1.8,4.9,1.6
Grönsaksblandning ärtor morot konserv. m. lag,41,2.2,6.1,0.3
Grönsaksjuice konserv. el. pastöriserad drickf.,19,0.6,3.7,0.1
Champinjon konserv. u. lag,18,2.4,0.3,0.3
Pumpasallad m. paprika inlagd sockrad u. lag,64,0.9,13.5,0.2
Grönsakssoppa klar veg. ,23,0.9,3.9,0.2
Spenatsoppa veg. hemlagad,36,1.9,2.2,2.0
Vitkål stuvad hemlagad,69,2.3,6.8,3.3
Blomkål gratinerad,92,5.1,6.2,4.9
Blomkål kokt m. salt,24,1.9,2.6,0.2
Blomkål stuvad,60,2.8,5.5,2.7
Gröna bönor stuvade,56,2.4,5.8,2.1
Grönkålssoppa,32,1.2,2.1,1.9
Grönsakssoppa redd ängamat veg. ,48,2.0,2.9,3.0
