date,time,section,calorie_acc,calorie,protien,distance,type,note
2024-11-08,14:30,FOOD,315.25,500.0,10.0,0,0,Protein bars
2024-11-08,15:00,REST,263.0,-52.25,0.0,0,0,0
2024-11-08,16:00,REST,210.75,-52.25,0.0,0,0,0
2024-11-08,17:00,REST,158.5,-52.25,0.0,0,0,0
2024-11-08,18:00,REST,106.25,-52.25,0.0,0,0,0
2024-11-08,19:00,REST,54.0,-52.25,0.0,0,0,0
2024-11-08,20:00,REST,1.75,-52.25,0.0,0,0,0
2024-11-08,21:00,REST,-50.5,-52.25,0.0,0,0,0
2024-11-08,22:00,REST,-102.75,-52.25,0.0,0,0,0
2024-11-08,23:00,REST,-155.0,-52.25,0.0,0,0,0
2024-11-09,00:00,REST,-52.25,-52.25,0.0,0,0,0
2024-11-09,01:00,REST,-104.5,-52.25,0.0,0,0,0
2024-11-09,02:00,REST,-156.75,-52.25,0.0,0,0,0
2024-11-09,03:00,REST,-209.0,-52.25,0.0,0,0,0
2024-11-09,03:38,FOOD,-69.0,140.0,25.0,0,0,Protein shake
2024-11-09,04:00,REST,-121.25,-52.25,0.0,0,0,0
2024-11-09,04:21,WALK,-556.25,-435.0,0.0,"8,49",0,14
2024-11-09,05:00,REST,-608.5,-52.25,0.0,0,0,0
2024-11-09,06:00,REST,-660.75,-52.25,0.0,0,0,0
2024-11-09,06:43,FOOD,-160.75,500.0,20.0,0,0,Porridge
2024-11-09,07:00,REST,-213.0,-52.25,0.0,0,0,0
2024-11-09,08:00,REST,-265.25,-52.25,0.0,0,0,0
2024-11-09,09:00,REST,-317.5,-52.25,0.0,0,0,0
2024-11-09,09:32,FOOD,182.5,500.0,20.0,0,0,Indian curry with rice and <span>chickpeas</span>
2024-11-09,10:00,REST,130.25,-52.25,0.0,0,0,0
2024-11-09,10:16,WALK,-361.75,-492.0,0.0,"8,68",0,0
2024-11-09,11:00,REST,-414.0,-52.25,0.0,0,0,0
2024-11-09,12:00,REST,-466.25,-52.25,0.0,0,0,0
2024-11-09,13:00,REST,-518.5,-52.25,0.0,0,0,0
2024-11-09,14:00,REST,-570.75,-52.25,0.0,0,0,0
2024-11-09,15:00,REST,-623.0,-52.25,0.0,0,0,0
2024-11-09,16:00,REST,-675.25,-52.25,0.0,0,0,0
2024-11-09,17:00,REST,-727.5,-52.25,0.0,0,0,0
2024-11-09,18:00,REST,-779.75,-52.25,0.0,0,0,0
2024-11-09,19:00,REST,-832.0,-52.25,0.0,0,0,0
2024-11-09,20:00,REST,-884.25,-52.25,0.0,0,0,0
2024-11-09,21:00,REST,-936.5,-52.25,0.0,0,0,0
2024-11-09,22:00,REST,-988.75,-52.25,0.0,0,0,0
2024-11-09,23:00,REST,-1041.0,-52.25,0.0,0,0,0
