date_time,Date,Time,Time / Activity,type,type_text,Activity time (h:m:s),Activity (minutes),startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
2024-09-01 07:35:29,2024-09-01,07:35,07:35 Walking,6,Walking,1:10:16,70.27,2024-09-01 07:35:29+0000,4216,2.1494312,0.4260957,5836.0,0.722,349.0
2024-09-01 04:59:26,2024-09-01,04:59,04:59 Core,50,Core,0:14:28,14.47,2024-09-01 04:59:26+0000,868,0.0,0.0,0.0,0.0,56.0
2024-09-01 04:49:03,2024-09-01,04:49,04:49 Walking,6,Walking,0:04:57,4.95,2024-09-01 04:49:03+0000,297,2.2818906,0.54582727,403.0,0.735,29.0
2024-09-01 04:08:01,2024-09-01,04:08,04:08 Running,1,Running,0:40:48,40.8,2024-09-01 04:08:01+0000,2448,1.5485172,0.33466342,6013.0,0.407,391.0
2024-09-01 03:53:33,2024-09-01,03:53,03:53 Walking,6,Walking,0:14:17,14.28,2024-09-01 03:53:33+0000,857,2.0342734,0.5415134,1007.0,0.85,79.0
2024-08-31 10:14:11,2024-08-31,10:14,10:14 Walking,6,Walking,1:28:35,88.58,2024-08-31 10:14:11+0000,5315,0.0,0.5222689,4468.0,1.189,390.0
2024-08-31 06:57:29,2024-08-31,06:57,06:57 Walking,6,Walking,0:51:16,51.27,2024-08-31 06:57:29+0000,3076,4.9565244,0.5700499,3963.0,0.776,238.0
2024-08-31 03:01:15,2024-08-31,03:01,03:01 Walking,6,Walking,1:23:25,83.42,2024-08-31 03:01:15+0000,5005,0.0,0.5398135,6527.0,0.766,400.0
2024-08-30 12:44:13,2024-08-30,12:44,12:44 Cycling,10,Cycling,0:45:03,45.05,2024-08-30 12:44:13+0000,2703,0.0,0.0,0.0,0.0,329.0
2024-08-30 10:06:04,2024-08-30,10:06,10:06 Walking,6,Walking,1:27:38,87.63,2024-08-30 10:06:04+0000,5258,2.703874,0.41855353,4064.0,1.293,399.0
2024-08-30 07:11:39,2024-08-30,07:11,07:11 Walking,6,Walking,0:55:45,55.75,2024-08-30 07:11:39+0000,3345,0.0,0.58957547,3898.0,0.858,363.0
2024-08-30 03:35:44,2024-08-30,03:35,03:35 Walking,6,Walking,1:26:47,86.78,2024-08-30 03:35:44+0000,5207,2.8778265,0.56204945,6384.0,0.815,461.0
2024-08-29 12:33:15,2024-08-29,12:33,12:33 Swimming,14,Swimming,0:54:02,54.03,2024-08-29 12:33:15+0000,3242,2.4443843,1.0140549,1550.0,2.091,404.0
